"gemeinde_id";"name"
"NL001705";"Lingewaard (NL)"
"NL001706";"Cranendonck (NL)"
"NL001711";"Echt-Susteren (NL)"
"03251003";"Bahrenborstel (NDS)"
"03454031";"Lengerich (NDS)"
"NL000882";"Landgraaf (NL)"
"NL000888";"Beek (NL)"
"NL000889";"Beesel (NL)"
"03454053";"Thuine (NDS)"
"NL000893";"Bergen (L) (NL)"
"NL000899";"Brunssum (NL)"
"NL000907";"Gennep (NL)"
"NL000917";"Heerlen (NL)"
"NL000928";"Kerkrade (NL)"
"NL000938";"Meerssen (NL)"
"NL000944";"Mook en Middelaar (NL)"
"NL000962";"Schinnen (NL)"
"NL000965";"Simpelveld (NL)"
"NL000981";"Vaals (NL)"
"NL001586";"Oost Gelre (NL)"
"NL001669";"Roerdalen (NL)"
"NL001684";"Cuijk (NL)"
"NL001702";"Sint Anthonis (NL)"
"NL001729";"Gulpen-Wittem (NL)"
"NL001734";"Overbetuwe (NL)"
"NL001774";"Dinkelland (NL)"
"NL001859";"Berkelland (NL)"
"NL001876";"Bronckhorst (NL)"
"NL001883";"Sittard-Geleen (NL)"
"NL001894";"Peel en Maas (NL)"
"NL001955";"Montferland (NL)"
"03257004";"Auhagen (NDS)"
"03257005";"Bad Eilsen (NDS)"
"03257015";"Heuerßen (NDS)"
"03257016";"Hohnhorst (NDS)"
"03257021";"Lüdersfeld (NDS)"
"03257019";"Lauenhagen (NDS)"
"03257020";"Lindhorst (NDS)"
"03251004";"Barenburg (NDS)"
"03251006";"Barver (NDS)"
"05112000";"Duisburg"
"05116000";"Mönchengladbach"
"05117000";"Mülheim an der Ruhr"
"05119000";"Oberhausen"
"05120000";"Remscheid"
"05122000";"Solingen"
"03257025";"Niedernwöhren (NDS)"
"03257026";"Nienstädt (NDS)"
"03257027";"Nordsehl (NDS)"
"03257032";"Rodenberg (NDS)"
"03257033";"Sachsenhagen (NDS)"
"05124000";"Wuppertal"
"03251021";"Kirchdorf (NDS)"
"03251022";"Lembruch (NDS)"
"03257034";"Seggebruch (NDS)"
"03454001";"Andervenne (NDS)"
"03454003";"Beesten (NDS)"
"03456018";"Quendorf (NDS)"
"03456020";"Samern (NDS)"
"03251045";"Wehrbleck (NDS)"
"05154004";"Bedburg-Hau"
"05154008";"Emmerich am Rhein"
"05154012";"Geldern"
"05154016";"Goch"
"05154020";"Issum"
"05154024";"Kalkar"
"05154028";"Kerken"
"05154032";"Kevelaer"
"05154040";"Kranenburg"
"03251046";"Wetschen (NDS)"
"03252001";"Aerzen (NDS)"
"03252003";"Bad Pyrmont (NDS)"
"07143283";"Oberroßbach (RP)"
"03255001";"Arholzen (NDS)"
"05154044";"Rees"
"05154048";"Rheurdt"
"05154052";"Straelen"
"05154056";"Uedem"
"05154060";"Wachtendonk"
"05154064";"Weeze"
"05158004";"Erkrath"
"05158008";"Haan"
"05158012";"Heiligenhaus"
"03155002";"Bodenfelde (NDS)"
"03155501";"Solling (Landkreis Northeim) (NDS)"
"05158016";"Hilden"
"05158024";"Mettmann"
"05158026";"Monheim am Rhein"
"05158028";"Ratingen"
"05158032";"Velbert"
"05158036";"Wülfrath"
"05162004";"Dormagen"
"05162008";"Grevenbroich"
"03251009";"Brockum (NDS)"
"03255007";"Deensen (NDS)"
"03251012";"Diepholz (NDS)"
"03251019";"Hemsloh (NDS)"
"03251020";"Hüde (NDS)"
"05162012";"Jüchen"
"03251023";"Lemförde (NDS)"
"03251025";"Marl (NDS)"
"03255009";"Derental (NDS)"
"05162016";"Kaarst"
"05162020";"Korschenbroich"
"03251029";"Quernheim (NDS)"
"03251030";"Rehden (NDS)"
"03255018";"Heinade (NDS)"
"05162022";"Meerbusch"
"05162024";"Neuss"
"05162028";"Rommerskirchen"
"05166004";"Brüggen"
"03251036";"Stemshorn (NDS)"
"03251043";"Varrel (NDS)"
"03251044";"Wagenfeld (NDS)"
"05166008";"Grefrath"
"05166012";"Kempen"
"05166016";"Nettetal"
"05166020";"Niederkrüchten"
"05166024";"Schwalmtal"
"05166028";"Tönisvorst"
"05166032";"Viersen"
"05166036";"Willich"
"05170004";"Alpen"
"07132028";"Etzbach (RP)"
"03255004";"Boffzen (NDS)"
"05170008";"Dinslaken"
"05170012";"Hamminkeln"
"05170016";"Hünxe"
"03252005";"Emmerthal (NDS)"
"05170020";"Kamp-Lintfort"
"05170024";"Moers"
"05170028";"Neukirchen-Vluyn"
"05170032";"Rheinberg"
"05170036";"Schermbeck"
"05170040";"Sonsbeck"
"05170044";"Voerde (Niederrhein)"
"05170048";"Wesel"
"05170052";"Xanten"
"05314000";"Bonn"
"03252006";"Hameln (NDS)"
"03255017";"Hehlen (NDS)"
"03252007";"Hessisch Oldendorf (NDS)"
"05315000";"Köln"
"05316000";"Leverkusen"
"05334002";"Aachen"
"05358036";"Linnich"
"05362012";"Brühl"
"03255002";"Bevern (NDS)"
"05362016";"Elsdorf"
"05362020";"Erftstadt"
"05362024";"Frechen"
"05362028";"Hürth"
"05362032";"Kerpen"
"05362036";"Pulheim"
"05366004";"Bad Münstereifel"
"05366008";"Blankenheim"
"05366012";"Dahlem"
"03255005";"Brevörde (NDS)"
"03255014";"Fürstenberg (NDS)"
"03255015";"Golmbach (NDS)"
"05366016";"Euskirchen"
"05366020";"Hellenthal"
"05366024";"Kall"
"05366028";"Mechernich"
"03255019";"Heinsen (NDS)"
"03255023";"Holzminden (NDS)"
"03255031";"Ottenstein (NDS)"
"05366032";"Nettersheim"
"05366036";"Schleiden"
"05366040";"Weilerswist"
"05370004";"Erkelenz"
"05370008";"Gangelt"
"05370012";"Geilenkirchen"
"05370016";"Heinsberg"
"03255026";"Lauenförde (NDS)"
"03255030";"Negenborn (NDS)"
"05370020";"Hückelhoven"
"05370024";"Selfkant"
"05370028";"Übach-Palenberg"
"05370032";"Waldfeucht"
"05370036";"Wassenberg"
"05370040";"Wegberg"
"05374004";"Bergneustadt"
"05374008";"Engelskirchen"
"05374012";"Gummersbach"
"05374016";"Hückeswagen"
"03255033";"Polle (NDS)"
"03255506";"Merxhausen (NDS)"
"05374020";"Lindlar"
"05374024";"Marienheide"
"05374028";"Morsbach"
"05374032";"Nümbrecht"
"03255035";"Vahlbruch (NDS)"
"03456022";"Suddendorf (NDS)"
"03255501";"Boffzen,gemfr.Gebiet (NDS)"
"03256002";"Binnen (NDS)"
"05374036";"Radevormwald"
"05374040";"Reichshof"
"05374044";"Waldbröl"
"05374048";"Wiehl"
"05374052";"Wipperfürth"
"03256006";"Estorf (NDS)"
"07132031";"Fiersbach (RP)"
"07143291";"Salzburg (RP)"
"03256004";"Diepenau (NDS)"
"03257001";"Ahnsen (NDS)"
"03256017";"Landesbergen (NDS)"
"03256018";"Leese (NDS)"
"03256019";"Liebenau (NDS)"
"03256024";"Raddestorf (NDS)"
"03256025";"Rehburg-Loccum (NDS)"
"03257002";"Apelern (NDS)"
"03256030";"Steyerberg (NDS)"
"03256032";"Stolzenau (NDS)"
"03257028";"Obernkirchen (NDS)"
"03256033";"Uchte (NDS)"
"03257003";"Auetal (NDS)"
"03257030";"Pollhagen (NDS)"
"03257031";"Rinteln (NDS)"
"03256034";"Warmsen (NDS)"
"05378004";"Bergisch Gladbach"
"05378008";"Burscheid"
"05378012";"Kürten"
"05378016";"Leichlingen (Rhld.)"
