"stoff_nr";"name";"beschreibung";"cas_id"
"1000";"Wassertemperatur, gemessen im Zulauf";"";""
"1001";"Relative Luftfeuchte 0.8m, Tagesmittel";"";""
"1002";"Relative Luftfeuchte 0.8m, Tagesminimum";"";""
"1003";"Relative Luftfeuchte 0.8m, Tagesmaximum";"";""
"1004";"Luftdruck, Minimum";"";""
"1005";"Luftdruck, Tagesmittel";"";""
"1006";"Luftdruck, Maximum";"";""
"1007";"Windgeschwindigkeit in 10m, Tagesmittel";"";""
"1008";"Windgeschwindigkeit in 10m, Tagesminimum";"";""
"1009";"Windgeschwindigkeit in 10m, Tagesmaximum";"";""
"1011";"Wassertemperatur";"";""
"1012";"Wassertemperatur, ammoniumrelevant (VWV)";"";""
"1013";"Wassertemperatur, Minimum";"";""
"1014";"Wassertemperatur, Maximum";"";""
"1015";"Lufttemperatur";"";""
"1016";"Lufttemperatur, Minimum";"";""
"1017";"Lufttemperatur, Maximum";"";""
"1018";"Wassertemperatur 1m, Tagesmittelwert";"";""
"1019";"Aufwärmspanne";"";""
"1020";"Wassertemperatur 0.3m, Tagesmittelwert";"";""
"1021";"Wassertemperatur 0.3m, Tagesminimum";"";""
"1022";"Wassertemperatur 1m, Tagesminimum";"";""
"1023";"Färbung";"";""
"1024";"Sichttiefe, Sommermittelwert";"";""
"1025";"Wassertemperatur, gleitender 6 Std-Mw";"";""
"1026";"Dampfdruck";"";""
"1027";"Spektraler Abs.-Koeffizient bei 436 nm";"";""
"1028";"Spektraler Abs.-Koeffizient bei 254 nm";"";""
"1029";"Trübung, Messg. d. gestreuten Strahlung";"";""
"1032";"Sichttiefe (Durchsichtigkeitszyl.)";"";""
"1033";"Sichttiefe (Sichtscheibe)";"";""
"1035";"Trübung";"";""
"1036";"Trübung, Tagesmittel";"";""
"1037";"Trübung, Tagesminimum";"";""
"1038";"Trübung, Tagesmaximum";"";""
"1039";"Trübung, spektr. Schwäch.-Koeffizient";"";""
"1042";"Geruch";"";""
"1043";"Spektraler Abs.-Koeffizient bei 525 nm";"";""
"1044";"Spektraler Abs.-Koeffizient bei 620 nm";"";""
"1045";"Geruchsschwellenwert";"";""
"1047";"cold filter plugging point - Temperatur";"";""
"1048";"Motoren - Octanzahl";"";""
"1049";"Flammpunkt";"";""
